pid,gender,age,education,employment,income,car_own,home,dest1,purp1,mode1,dest2,purp2,mode2,dest3,purp3,mode3,dest4,purp4,mode4,dest5,purp5,mode5,min_time1,max_time1,min_time2,max_time2,min_time3,max_time3,min_time4,max_time4,min_time5,max_time5
512,0: feamale,25.0,4: master or phd,4: active,3: 1500-2500,1: yes,7.0,1,1: work,1: car,28,1: work,1: car,,,,,,,,,,8.0,11.0,17.0,20.0,,,,,,
513,0: feamale,55.0,3: bachelor,1: inactive,1: 750 or less,1: yes,2.0,13,7: other,2: taxi,2,2: return home,3: bus,,,,,,,,,,8.0,11.0,11.0,14.0,,,,,,
514,0: feamale,62.0,4: master or phd,4: active,2: 750-1500,0: no,5.0,5,7: other,7: walk,6,7: other,7: walk,6.0,4: market,7: walk,,,,,,,11.0,14.0,14.0,17.0,17.0,20.0,,,,
515,0: feamale,48.0,2: high school,4: active,2: 750-1500,1: yes,6.0,7,1: work,5: motorcycle,6,2: return home,5: motorcycle,6.0,4: market,7: walk,,,,,,,8.0,11.0,17.0,20.0,17.0,20.0,,,,
516,1: male,58.0,3: bachelor,4: active,2: 750-1500,1: yes,15.0,7,1: work,1: car,6,1: work,1: car,,,,,,,,,,8.0,11.0,14.0,17.0,,,,,,
517,1: male,21.0,2: high school,4: active,1: 750 or less,1: yes,16.0,16,3: education,7: walk,1,1: work,7: walk,,,,,,,,,,17.0,20.0,29.0,32.0,,,,,,
518,1: male,24.0,3: bachelor,4: active,2: 750-1500,1: yes,15.0,1,1: work,5: motorcycle,15,2: return home,5: motorcycle,18.0,5: recreation,5: motorcycle,30.0,5: recreation,5: motorcycle,,,,8.0,11.0,17.0,20.0,17.0,20.0,20.0,23.0,,
519,0: feamale,39.0,2: high school,4: active,1: 750 or less,0: no,14.0,23,1: work,6: bicycle,21,1: work,6: bicycle,,,,,,,,,,8.0,11.0,14.0,17.0,,,,,,
520,0: feamale,38.0,3: bachelor,4: active,1: 750 or less,1: yes,6.0,6,4: market,7: walk,6,7: other,7: walk,,,,,,,,,,14.0,17.0,14.0,17.0,,,,,,
521,1: male,23.0,4: master or phd,4: active,2: 750-1500,1: yes,20.0,15,1: work,1: car,10,7: other,1: car,,,,,,,,,,8.0,11.0,8.0,11.0,,,,,,
522,0: feamale,31.0,4: master or phd,4: active,2: 750-1500,1: yes,7.0,15,1: work,3: bus,7,2: return home,3: bus,7.0,5: recreation,7: walk,7.0,2: return home,7: walk,,,,8.0,11.0,17.0,20.0,20.0,23.0,23.0,29.0,,
523,1: male,20.0,2: high school,3: student,0: no income,1: yes,15.0,15,5: recreation,3: bus,15,2: return home,7: walk,1.0,2: return home,2: taxi,,,,,,,11.0,14.0,23.0,29.0,44.0,47.0,,,,
524,0: feamale,18.0,2: high school,3: student,1: 750 or less,1: yes,15.0,34,5: recreation,5: motorcycle,21,7: other,5: motorcycle,15.0,2: return home,5: motorcycle,25.0,5: recreation,5: motorcycle,11.0,5: recreation,4: train,14.0,17.0,17.0,20.0,20.0,23.0,20.0,23.0,20.0,23.0
525,0: feamale,56.0,3: bachelor,4: active,2: 750-1500,1: yes,7.0,1,5: recreation,1: car,7,2: return home,1: car,,,,,,,,,,20.0,23.0,23.0,29.0,,,,,,
526,1: male,22.0,2: high school,3: student,1: 750 or less,0: no,15.0,15,7: other,7: walk,7,5: recreation,3: bus,,,,,,,,,,14.0,17.0,20.0,23.0,,,,,,
527,1: male,42.0,4: master or phd,4: active,2: 750-1500,1: yes,30.0,24,1: work,1: car,7,7: other,1: car,30.0,2: return home,1: car,,,,,,,8.0,11.0,17.0,20.0,17.0,20.0,,,,
528,0: feamale,20.0,3: bachelor,4: active,2: 750-1500,1: yes,25.0,24,1: work,4: train,24,1: work,4: train,15.0,1: work,4: train,,,,,,,8.0,11.0,29.0,32.0,44.0,47.0,,,,
529,0: feamale,28.0,3: bachelor,4: active,2: 750-1500,1: yes,1.0,1,5: recreation,7: walk,15,5: recreation,7: walk,,,,,,,,,,20.0,23.0,20.0,23.0,,,,,,
530,1: male,22.0,4: master or phd,4: active,2: 750-1500,1: yes,35.0,35,5: recreation,1: car,36,1: work,1: car,,,,,,,,,,17.0,20.0,32.0,35.0,,,,,,
531,1: male,29.0,4: master or phd,4: active,2: 750-1500,1: yes,3.0,1,1: work,4: train,3,2: return home,4: train,,,,,,,,,,8.0,11.0,17.0,20.0,,,,,,
532,1: male,63.0,3: bachelor,1: inactive,2: 750-1500,1: yes,21.0,21,7: other,1: car,2,4: market,1: car,,,,,,,,,,11.0,14.0,11.0,14.0,,,,,,
533,0: feamale,60.0,2: high school,1: inactive,1: 750 or less,1: yes,14.0,14,7: other,7: walk,14,7: other,7: walk,14.0,4: market,1: car,,,,,,,17.0,20.0,17.0,20.0,38.0,41.0,,,,
534,0: feamale,73.0,4: master or phd,1: inactive,2: 750-1500,1: yes,1.0,1,4: market,7: walk,1,7: other,1: car,,,,,,,,,,11.0,14.0,14.0,17.0,,,,,,
535,0: feamale,55.0,3: bachelor,4: active,2: 750-1500,1: yes,36.0,36,1: work,1: car,36,2: return home,1: car,,,,,,,,,,8.0,11.0,14.0,17.0,,,,,,
536,0: feamale,42.0,4: master or phd,4: active,3: 1500-2500,1: yes,15.0,1,4: market,3: bus,6,1: work,7: walk,,,,,,,,,,17.0,20.0,32.0,35.0,,,,,,
537,0: feamale,33.0,2: high school,2: unemployed,0: no income,1: yes,1.0,12,5: recreation,1: car,1,2: return home,1: car,1.0,5: recreation,2: taxi,1.0,2: return home,1: car,,,,11.0,14.0,14.0,17.0,20.0,23.0,23.0,29.0,,
538,0: feamale,26.0,4: master or phd,4: active,2: 750-1500,1: yes,24.0,22,1: work,4: train,24,2: return home,4: train,,,,,,,,,,8.0,11.0,17.0,20.0,,,,,,
539,0: feamale,20.0,2: high school,3: student,0: no income,1: yes,7.0,15,3: education,3: bus,7,2: return home,3: bus,1.0,5: recreation,4: train,,,,,,,8.0,11.0,17.0,20.0,20.0,23.0,,,,
540,1: male,36.0,4: master or phd,4: active,3: 1500-2500,1: yes,7.0,29,7: other,1: car,7,5: recreation,1: car,7.0,2: return home,1: car,,,,,,,17.0,20.0,17.0,20.0,20.0,23.0,,,,
541,0: feamale,29.0,4: master or phd,4: active,1: 750 or less,1: yes,36.0,2,1: work,4: train,2,1: work,4: train,,,,,,,,,,11.0,14.0,11.0,14.0,,,,,,
542,1: male,21.0,4: master or phd,4: active,2: 750-1500,1: yes,22.0,22,7: other,1: car,22,2: return home,1: car,,,,,,,,,,8.0,11.0,20.0,23.0,,,,,,
543,0: feamale,31.0,3: bachelor,4: active,1: 750 or less,1: yes,24.0,15,1: work,5: motorcycle,13,1: work,5: motorcycle,24.0,1: work,5: motorcycle,,,,,,,14.0,17.0,14.0,17.0,20.0,23.0,,,,
544,0: feamale,61.0,3: bachelor,1: inactive,2: 750-1500,1: yes,25.0,1,5: recreation,4: train,25,2: return home,4: train,,,,,,,,,,11.0,14.0,14.0,17.0,,,,,,
545,0: feamale,23.0,4: master or phd,4: active,2: 750-1500,0: no,15.0,36,1: work,4: train,15,2: return home,4: train,,,,,,,,,,8.0,11.0,17.0,20.0,,,,,,
546,1: male,,3: bachelor,2: unemployed,0: no income,1: yes,7.0,12,1: work,1: car,7,1: work,1: car,7.0,4: market,7: walk,7.0,2: return home,7: walk,7.0,5: recreation,7: walk,8.0,11.0,17.0,20.0,17.0,20.0,17.0,20.0,20.0,23.0
547,1: male,20.0,4: master or phd,4: active,1: 750 or less,1: yes,10.0,18,1: work,1: car,25,1: work,1: car,28.0,1: work,1: car,,,,,,,14.0,17.0,14.0,17.0,17.0,20.0,,,,
548,0: feamale,46.0,3: bachelor,4: active,2: 750-1500,1: yes,8.0,23,1: work,1: car,6,4: market,1: car,,,,,,,,,,8.0,11.0,14.0,17.0,,,,,,
549,0: feamale,24.0,2: high school,3: student,0: no income,1: yes,15.0,15,3: education,3: bus,11,5: recreation,4: train,13.0,5: recreation,3: bus,1.0,4: market,4: train,7.0,5: recreation,3: bus,8.0,11.0,20.0,23.0,41.0,44.0,62.0,65.0,65.0,68.0
550,1: male,54.0,3: bachelor,1: inactive,2: 750-1500,1: yes,2.0,1,4: market,7: walk,2,2: return home,7: walk,,,,,,,,,,11.0,14.0,11.0,14.0,,,,,,
551,0: feamale,70.0,2: high school,1: inactive,2: 750-1500,0: no,34.0,34,7: other,2: taxi,29,1: work,2: taxi,,,,,,,,,,11.0,14.0,29.0,32.0,,,,,,
552,0: feamale,38.0,3: bachelor,4: active,3: 1500-2500,0: no,13.0,15,1: work,3: bus,1,1: work,3: bus,,,,,,,,,,8.0,11.0,17.0,20.0,,,,,,
553,1: male,32.0,4: master or phd,4: active,3: 1500-2500,0: no,1.0,1,1: work,3: bus,1,5: recreation,2: taxi,1.0,2: return home,7: walk,1.0,2: return home,2: taxi,,,,8.0,11.0,20.0,23.0,41.0,44.0,47.0,53.0,,
554,0: feamale,36.0,4: master or phd,4: active,3: 1500-2500,1: yes,28.0,1,1: work,1: car,7,7: other,1: car,28.0,2: return home,1: car,,,,,,,8.0,11.0,14.0,17.0,17.0,20.0,,,,
555,0: feamale,47.0,4: master or phd,4: active,3: 1500-2500,1: yes,1.0,15,1: work,1: car,1,2: return home,1: car,2.0,5: recreation,7: walk,1.0,2: return home,1: car,,,,8.0,11.0,20.0,23.0,20.0,23.0,23.0,29.0,,
556,1: male,45.0,4: master or phd,4: active,3: 1500-2500,1: yes,30.0,36,1: work,1: car,19,1: work,1: car,22.0,4: market,1: car,24.0,7: other,2: taxi,,,,5.0,8.0,8.0,11.0,11.0,14.0,14.0,17.0,,
557,1: male,47.0,4: master or phd,4: active,2: 750-1500,0: no,35.0,29,1: work,4: train,35,2: return home,4: train,,,,,,,,,,5.0,8.0,14.0,17.0,,,,,,
558,0: feamale,51.0,4: master or phd,4: active,3: 1500-2500,0: no,15.0,1,1: work,2: taxi,2,4: market,2: taxi,,,,,,,,,,5.0,8.0,11.0,14.0,,,,,,
559,1: male,59.0,2: high school,4: active,2: 750-1500,1: yes,32.0,32,7: other,1: car,32,7: other,1: car,32.0,7: other,1: car,32.0,7: other,1: car,32.0,7: other,1: car,17.0,20.0,17.0,20.0,17.0,20.0,17.0,20.0,17.0,20.0
560,0: feamale,51.0,3: bachelor,4: active,2: 750-1500,0: no,35.0,1,1: work,4: train,35,2: return home,4: train,35.0,1: work,3: bus,35.0,2: return home,3: bus,,,,5.0,8.0,14.0,17.0,29.0,32.0,41.0,44.0,,
561,0: feamale,56.0,1: primary school,4: active,,1: yes,15.0,19,1: work,3: bus,19,1: work,3: bus,,,,,,,,,,5.0,8.0,5.0,8.0,,,,,,
562,0: feamale,61.0,3: bachelor,4: active,1: 750 or less,1: yes,25.0,25,7: other,7: walk,25,2: return home,7: walk,25.0,4: market,7: walk,,,,,,,11.0,14.0,20.0,23.0,20.0,23.0,,,,
563,1: male,27.0,4: master or phd,4: active,1: 750 or less,1: yes,7.0,1,1: work,7: walk,7,2: return home,7: walk,,,,,,,,,,8.0,11.0,17.0,20.0,,,,,,
564,1: male,49.0,3: bachelor,4: active,2: 750-1500,1: yes,5.0,14,1: work,1: car,5,2: return home,1: car,,,,,,,,,,8.0,11.0,14.0,17.0,,,,,,
565,1: male,28.0,3: bachelor,3: student,1: 750 or less,0: no,13.0,2,1: work,1: car,2,1: work,1: car,,,,,,,,,,0.0,5.0,0.0,5.0,,,,,,
566,0: feamale,51.0,3: bachelor,1: inactive,2: 750-1500,1: yes,23.0,36,4: market,1: car,36,4: market,1: car,36.0,7: other,1: car,,,,,,,11.0,14.0,11.0,14.0,20.0,23.0,,,,
567,1: male,83.0,3: bachelor,1: inactive,,1: yes,15.0,21,7: other,1: car,15,2: return home,1: car,,,,,,,,,,17.0,20.0,20.0,23.0,,,,,,
568,0: feamale,20.0,3: bachelor,,1: 750 or less,0: no,21.0,21,7: other,2: taxi,25,5: recreation,3: bus,,,,,,,,,,20.0,23.0,20.0,23.0,,,,,,
569,0: feamale,24.0,3: bachelor,4: active,2: 750-1500,1: yes,10.0,10,7: other,1: car,10,7: other,1: car,,,,,,,,,,5.0,8.0,5.0,8.0,,,,,,
570,1: male,83.0,3: bachelor,1: inactive,2: 750-1500,1: yes,15.0,1,4: market,1: car,15,2: return home,1: car,20.0,5: recreation,7: walk,15.0,2: return home,7: walk,,,,8.0,11.0,11.0,14.0,17.0,20.0,20.0,23.0,,
571,0: feamale,54.0,2: high school,4: active,2: 750-1500,1: yes,25.0,28,1: work,1: car,25,2: return home,1: car,,,,,,,,,,5.0,8.0,14.0,17.0,,,,,,
572,0: feamale,43.0,4: master or phd,4: active,3: 1500-2500,1: yes,12.0,12,7: other,1: car,5,7: other,1: car,,,,,,,,,,17.0,20.0,32.0,35.0,,,,,,
573,0: feamale,35.0,3: bachelor,4: active,3: 1500-2500,1: yes,36.0,36,5: recreation,1: car,36,4: market,1: car,,,,,,,,,,20.0,23.0,41.0,44.0,,,,,,
574,1: male,61.0,2: high school,4: active,3: 1500-2500,1: yes,25.0,30,1: work,1: car,25,2: return home,1: car,,,,,,,,,,5.0,8.0,14.0,17.0,,,,,,
575,0: feamale,37.0,4: master or phd,4: active,,0: no,15.0,31,7: other,4: train,15,2: return home,4: train,,,,,,,,,,17.0,20.0,20.0,23.0,,,,,,
576,0: feamale,54.0,3: bachelor,1: inactive,2: 750-1500,1: yes,22.0,22,4: market,7: walk,22,4: market,3: bus,,,,,,,,,,11.0,14.0,11.0,14.0,,,,,,
577,0: feamale,36.0,4: master or phd,4: active,2: 750-1500,1: yes,19.0,19,7: other,1: car,5,4: market,1: car,6.0,4: market,1: car,,,,,,,11.0,14.0,14.0,17.0,17.0,20.0,,,,
578,0: feamale,42.0,4: master or phd,4: active,2: 750-1500,1: yes,19.0,19,7: other,1: car,5,4: market,1: car,6.0,4: market,1: car,,,,,,,11.0,14.0,14.0,17.0,17.0,20.0,,,,
579,0: feamale,25.0,4: master or phd,4: active,2: 750-1500,1: yes,18.0,1,1: work,1: car,1,1: work,1: car,18.0,2: return home,1: car,,,,,,,8.0,11.0,8.0,11.0,17.0,20.0,,,,
580,0: feamale,74.0,2: high school,1: inactive,2: 750-1500,1: yes,25.0,4,4: market,2: taxi,4,4: market,2: taxi,,,,,,,,,,11.0,14.0,11.0,14.0,,,,,,
581,1: male,23.0,2: high school,4: active,2: 750-1500,1: yes,32.0,17,1: work,1: car,9,5: recreation,1: car,,,,,,,,,,5.0,8.0,17.0,20.0,,,,,,
582,1: male,51.0,2: high school,4: active,,0: no,21.0,10,5: recreation,3: bus,21,2: return home,2: taxi,,,,,,,,,,8.0,11.0,20.0,23.0,,,,,,
583,0: feamale,20.0,2: high school,3: student,0: no income,1: yes,15.0,15,7: other,3: bus,15,7: other,3: bus,,,,,,,,,,11.0,14.0,17.0,20.0,,,,,,
584,0: feamale,37.0,4: master or phd,4: active,3: 1500-2500,1: yes,21.0,1,1: work,1: car,21,2: return home,1: car,,,,,,,,,,5.0,8.0,14.0,17.0,,,,,,
585,0: feamale,42.0,3: bachelor,4: active,2: 750-1500,1: yes,6.0,28,1: work,1: car,6,2: return home,1: car,,,,,,,,,,5.0,8.0,14.0,17.0,,,,,,
586,0: feamale,46.0,4: master or phd,4: active,2: 750-1500,1: yes,21.0,1,1: work,1: car,21,2: return home,1: car,,,,,,,,,,5.0,8.0,14.0,17.0,,,,,,
587,1: male,42.0,3: bachelor,4: active,2: 750-1500,1: yes,19.0,1,1: work,1: car,19,5: recreation,1: car,,,,,,,,,,5.0,8.0,17.0,20.0,,,,,,
588,0: feamale,25.0,2: high school,3: student,0: no income,1: yes,2.0,15,3: education,3: bus,2,2: return home,3: bus,,,,,,,,,,14.0,17.0,20.0,23.0,,,,,,
589,1: male,34.0,4: master or phd,4: active,3: 1500-2500,1: yes,9.0,11,1: work,1: car,9,2: return home,1: car,1.0,5: recreation,1: car,,,,,,,5.0,8.0,5.0,8.0,17.0,20.0,,,,
590,0: feamale,23.0,4: master or phd,4: active,2: 750-1500,1: yes,16.0,25,1: work,6: bicycle,25,1: work,6: bicycle,25.0,1: work,6: bicycle,25.0,1: work,6: bicycle,,,,14.0,17.0,14.0,17.0,14.0,17.0,14.0,17.0,,
591,1: male,36.0,2: high school,4: active,2: 750-1500,1: yes,5.0,1,1: work,4: train,5,2: return home,4: train,,,,,,,,,,5.0,8.0,14.0,17.0,,,,,,
592,0: feamale,53.0,4: master or phd,4: active,3: 1500-2500,1: yes,18.0,1,1: work,4: train,18,2: return home,4: train,,,,,,,,,,5.0,8.0,17.0,20.0,,,,,,
593,0: feamale,24.0,2: high school,3: student,0: no income,1: yes,25.0,3,3: education,4: train,2,4: market,4: train,31.0,7: other,4: train,25.0,2: return home,4: train,1.0,5: recreation,4: train,8.0,11.0,11.0,14.0,17.0,20.0,23.0,29.0,35.0,38.0
594,1: male,31.0,4: master or phd,4: active,3: 1500-2500,1: yes,35.0,35,1: work,1: car,35,5: recreation,1: car,35.0,2: return home,1: car,,,,,,,8.0,11.0,17.0,20.0,20.0,23.0,,,,
595,0: feamale,52.0,2: high school,4: active,2: 750-1500,1: yes,32.0,32,5: recreation,7: walk,36,1: work,3: bus,,,,,,,,,,5.0,8.0,5.0,8.0,,,,,,
596,1: male,63.0,2: high school,4: active,2: 750-1500,1: yes,36.0,36,4: market,1: car,36,6: service,1: car,36.0,2: return home,1: car,,,,,,,8.0,11.0,29.0,32.0,35.0,38.0,,,,
597,0: feamale,28.0,3: bachelor,4: active,1: 750 or less,1: yes,35.0,22,1: work,1: car,35,2: return home,1: car,,,,,,,,,,8.0,11.0,17.0,20.0,,,,,,
598,0: feamale,26.0,3: bachelor,4: active,1: 750 or less,1: yes,25.0,7,1: work,2: taxi,25,2: return home,4: train,,,,,,,,,,5.0,8.0,14.0,17.0,,,,,,
599,0: feamale,19.0,4: master or phd,4: active,1: 750 or less,1: yes,35.0,22,1: work,3: bus,35,2: return home,3: bus,35.0,4: market,7: walk,1.0,5: recreation,1: car,,,,5.0,8.0,14.0,17.0,17.0,20.0,20.0,23.0,,
600,0: feamale,55.0,3: bachelor,1: inactive,2: 750-1500,1: yes,1.0,1,5: recreation,2: taxi,1,5: recreation,2: taxi,,,,,,,,,,20.0,23.0,20.0,23.0,,,,,,
601,0: feamale,58.0,3: bachelor,4: active,2: 750-1500,1: yes,19.0,19,1: work,1: car,19,1: work,1: car,19.0,7: other,1: car,19.0,2: return home,1: car,19.0,4: market,1: car,8.0,11.0,8.0,11.0,17.0,20.0,38.0,41.0,38.0,41.0
602,,,,,,0: no,29.0,29,7: other,3: bus,33,4: market,8: escooter,,,,,,,,,,5.0,8.0,23.0,29.0,,,,,,
603,1: male,22.0,4: master or phd,3: student,1: 750 or less,1: yes,8.0,8,7: other,3: bus,8,3: education,4: train,8.0,5: recreation,2: taxi,,,,,,,17.0,20.0,32.0,35.0,44.0,47.0,,,,
604,0: feamale,52.0,3: bachelor,4: active,,1: yes,30.0,24,1: work,1: car,30,2: return home,1: car,,,,,,,,,,5.0,8.0,14.0,17.0,,,,,,
605,1: male,41.0,4: master or phd,4: active,,1: yes,7.0,1,5: recreation,4: train,7,2: return home,3: bus,,,,,,,,,,14.0,17.0,17.0,20.0,,,,,,
606,0: feamale,53.0,3: bachelor,1: inactive,2: 750-1500,1: yes,18.0,18,7: other,4: train,7,6: service,4: train,,,,,,,,,,11.0,14.0,11.0,14.0,,,,,,
607,1: male,75.0,2: high school,1: inactive,2: 750-1500,1: yes,35.0,18,4: market,1: car,18,7: other,1: car,,,,,,,,,,11.0,14.0,32.0,35.0,,,,,,
608,1: male,49.0,4: master or phd,4: active,3: 1500-2500,0: no,1.0,22,1: work,4: train,1,2: return home,4: train,,,,,,,,,,8.0,11.0,17.0,20.0,,,,,,
609,1: male,37.0,3: bachelor,4: active,,1: yes,16.0,1,1: work,4: train,16,2: return home,4: train,,,,,,,,,,8.0,11.0,17.0,20.0,,,,,,
610,0: feamale,36.0,3: bachelor,4: active,,1: yes,11.0,32,1: work,1: car,11,2: return home,1: car,,,,,,,,,,8.0,11.0,14.0,17.0,,,,,,
611,0: feamale,53.0,3: bachelor,4: active,,1: yes,28.0,28,1: work,1: car,28,2: return home,1: car,,,,,,,,,,8.0,11.0,17.0,20.0,,,,,,
612,1: male,21.0,4: master or phd,4: active,,1: yes,12.0,22,4: market,1: car,1,5: recreation,1: car,,,,,,,,,,8.0,11.0,17.0,20.0,,,,,,
613,1: male,25.0,3: bachelor,2: unemployed,0: no income,1: yes,26.0,26,5: recreation,7: walk,12,5: recreation,3: bus,,,,,,,,,,20.0,23.0,20.0,23.0,,,,,,
