pid,gender,age,education,employment,income,car_own,home,dest1,purp1,mode1,dest2,purp2,mode2,dest3,purp3,mode3,dest4,purp4,mode4,dest5,purp5,mode5,min_time1,max_time1,min_time2,max_time2,min_time3,max_time3,min_time4,max_time4,min_time5,max_time5
411,0: feamale,19.0,3: bachelor,4: active,,1: yes,35.0,35,3: education,4: train,24,1: work,4: train,,,,,,,,,,14.0,17.0,14.0,17.0,,,,,,
412,0: feamale,52.0,3: bachelor,4: active,3: 1500-2500,1: yes,1.0,1,1: work,1: car,1,2: return home,1: car,,,,,,,,,,5.0,8.0,14.0,17.0,,,,,,
413,0: feamale,27.0,4: master or phd,4: active,2: 750-1500,1: yes,7.0,22,1: work,1: car,7,2: return home,1: car,30.0,1: work,1: car,7.0,2: return home,1: car,,,,5.0,8.0,11.0,14.0,14.0,17.0,23.0,29.0,,
414,0: feamale,19.0,4: master or phd,4: active,2: 750-1500,1: yes,1.0,1,5: recreation,7: walk,1,2: return home,7: walk,16.0,5: recreation,2: taxi,1.0,5: recreation,2: taxi,,,,11.0,14.0,14.0,17.0,20.0,23.0,23.0,29.0,,
415,1: male,25.0,2: high school,3: student,1: 750 or less,1: yes,14.0,30,5: recreation,3: bus,14,2: return home,3: bus,12.0,5: recreation,3: bus,30.0,5: recreation,3: bus,,,,11.0,14.0,20.0,23.0,35.0,38.0,41.0,44.0,,
416,0: feamale,41.0,4: master or phd,4: active,,1: yes,1.0,17,5: recreation,1: car,1,2: return home,1: car,,,,,,,,,,17.0,20.0,20.0,23.0,,,,,,
417,0: feamale,51.0,4: master or phd,4: active,3: 1500-2500,1: yes,35.0,1,1: work,1: car,1,1: work,1: car,,,,,,,,,,11.0,14.0,17.0,20.0,,,,,,
418,0: feamale,19.0,4: master or phd,4: active,2: 750-1500,1: yes,8.0,35,1: work,1: car,8,2: return home,1: car,,,,,,,,,,5.0,8.0,17.0,20.0,,,,,,
419,0: feamale,28.0,3: bachelor,4: active,1: 750 or less,0: no,11.0,18,1: work,4: train,11,2: return home,4: train,,,,,,,,,,8.0,11.0,17.0,20.0,,,,,,
420,0: feamale,19.0,3: bachelor,4: active,3: 1500-2500,1: yes,1.0,1,5: recreation,3: bus,35,5: recreation,3: bus,,,,,,,,,,20.0,23.0,20.0,23.0,,,,,,
421,0: feamale,23.0,3: bachelor,4: active,2: 750-1500,1: yes,15.0,2,1: work,7: walk,15,2: return home,7: walk,15.0,4: market,7: walk,,,,,,,8.0,11.0,17.0,20.0,20.0,23.0,,,,
422,0: feamale,56.0,4: master or phd,4: active,2: 750-1500,0: no,7.0,7,1: work,5: motorcycle,6,1: work,5: motorcycle,1.0,4: market,5: motorcycle,7.0,2: return home,5: motorcycle,,,,14.0,17.0,32.0,35.0,38.0,41.0,41.0,44.0,,
423,1: male,35.0,4: master or phd,4: active,3: 1500-2500,1: yes,25.0,34,1: work,1: car,25,2: return home,1: car,1.0,5: recreation,1: car,25.0,2: return home,1: car,,,,8.0,11.0,14.0,17.0,20.0,23.0,23.0,29.0,,
424,0: feamale,19.0,3: bachelor,4: active,2: 750-1500,1: yes,18.0,18,5: recreation,1: car,13,7: other,1: car,,,,,,,,,,20.0,23.0,20.0,23.0,,,,,,
425,1: male,22.0,2: high school,3: student,0: no income,0: no,25.0,25,5: recreation,4: train,18,5: recreation,4: train,,,,,,,,,,17.0,20.0,17.0,20.0,,,,,,
426,0: feamale,28.0,2: high school,3: student,1: 750 or less,0: no,21.0,15,3: education,2: taxi,21,2: return home,3: bus,,,,,,,,,,14.0,17.0,17.0,20.0,,,,,,
427,0: feamale,22.0,2: high school,3: student,0: no income,1: yes,30.0,15,3: education,4: train,30,2: return home,4: train,30.0,6: service,4: train,,,,,,,8.0,11.0,14.0,17.0,17.0,20.0,,,,
428,0: feamale,26.0,3: bachelor,4: active,3: 1500-2500,1: yes,16.0,12,1: work,1: car,22,1: work,1: car,,,,,,,,,,8.0,11.0,14.0,17.0,,,,,,
429,1: male,43.0,4: master or phd,4: active,2: 750-1500,1: yes,11.0,7,1: work,4: train,6,4: market,4: train,,,,,,,,,,8.0,11.0,11.0,14.0,,,,,,
430,0: feamale,43.0,4: master or phd,4: active,3: 1500-2500,1: yes,7.0,1,1: work,4: train,7,2: return home,4: train,,,,,,,,,,8.0,11.0,17.0,20.0,,,,,,
431,0: feamale,25.0,4: master or phd,4: active,2: 750-1500,1: yes,22.0,22,5: recreation,1: car,28,5: recreation,1: car,,,,,,,,,,14.0,17.0,17.0,20.0,,,,,,
432,0: feamale,27.0,3: bachelor,4: active,1: 750 or less,1: yes,4.0,17,1: work,4: train,4,2: return home,4: train,,,,,,,,,,14.0,17.0,20.0,23.0,,,,,,
433,0: feamale,27.0,4: master or phd,4: active,2: 750-1500,1: yes,1.0,1,1: work,1: car,1,2: return home,1: car,,,,,,,,,,8.0,11.0,14.0,17.0,,,,,,
434,0: feamale,35.0,3: bachelor,4: active,3: 1500-2500,1: yes,35.0,22,1: work,1: car,35,2: return home,1: car,,,,,,,,,,8.0,11.0,17.0,20.0,,,,,,
435,0: feamale,29.0,2: high school,4: active,1: 750 or less,1: yes,22.0,22,1: work,1: car,22,2: return home,1: car,22.0,5: recreation,1: car,22.0,5: recreation,1: car,22.0,2: return home,1: car,8.0,11.0,14.0,17.0,17.0,20.0,20.0,23.0,23.0,29.0
436,1: male,35.0,4: master or phd,4: active,,1: yes,21.0,1,5: recreation,3: bus,21,2: return home,3: bus,,,,,,,,,,17.0,20.0,17.0,20.0,,,,,,
437,0: feamale,22.0,3: bachelor,4: active,1: 750 or less,1: yes,15.0,16,3: education,3: bus,15,2: return home,3: bus,16.0,5: recreation,4: train,18.0,2: return home,4: train,,,,8.0,11.0,17.0,20.0,17.0,20.0,20.0,23.0,,
438,0: feamale,36.0,2: high school,2: unemployed,1: 750 or less,0: no,1.0,32,4: market,4: train,1,2: return home,4: train,,,,,,,,,,17.0,20.0,17.0,20.0,,,,,,
439,1: male,24.0,3: bachelor,4: active,,1: yes,32.0,22,1: work,1: car,35,5: recreation,1: car,,,,,,,,,,8.0,11.0,17.0,20.0,,,,,,
440,1: male,32.0,2: high school,4: active,2: 750-1500,1: yes,30.0,4,1: work,4: train,2,1: work,4: train,,,,,,,,,,5.0,8.0,11.0,14.0,,,,,,
441,0: feamale,28.0,2: high school,3: student,1: 750 or less,1: yes,18.0,11,3: education,4: train,1,5: recreation,4: train,18.0,2: return home,4: train,,,,,,,8.0,11.0,20.0,23.0,23.0,29.0,,,,
442,0: feamale,41.0,2: high school,4: active,1: 750 or less,0: no,21.0,21,1: work,3: bus,21,2: return home,4: train,,,,,,,,,,5.0,8.0,14.0,17.0,,,,,,
443,0: feamale,20.0,3: bachelor,4: active,2: 750-1500,1: yes,31.0,29,1: work,4: train,31,2: return home,4: train,28.0,5: recreation,1: car,31.0,2: return home,1: car,35.0,4: market,4: train,5.0,8.0,14.0,17.0,17.0,20.0,17.0,20.0,17.0,20.0
444,0: feamale,45.0,4: master or phd,2: unemployed,2: 750-1500,1: yes,30.0,30,7: other,7: walk,31,7: other,7: walk,,,,,,,,,,8.0,11.0,11.0,14.0,,,,,,
445,0: feamale,34.0,3: bachelor,4: active,2: 750-1500,1: yes,8.0,2,1: work,3: bus,11,7: other,4: train,8.0,2: return home,3: bus,,,,,,,5.0,8.0,17.0,20.0,20.0,23.0,,,,
446,0: feamale,28.0,3: bachelor,3: student,1: 750 or less,1: yes,12.0,12,5: recreation,1: car,12,2: return home,1: car,,,,,,,,,,17.0,20.0,23.0,29.0,,,,,,
447,0: feamale,34.0,4: master or phd,4: active,3: 1500-2500,1: yes,34.0,13,7: other,2: taxi,34,2: return home,2: taxi,34.0,2: return home,2: taxi,,,,,,,17.0,20.0,20.0,23.0,20.0,23.0,,,,
448,1: male,27.0,3: bachelor,4: active,1: 750 or less,1: yes,4.0,4,5: recreation,1: car,19,5: recreation,1: car,,,,,,,,,,11.0,14.0,14.0,17.0,,,,,,
449,0: feamale,27.0,3: bachelor,4: active,1: 750 or less,1: yes,24.0,9,1: work,1: car,24,2: return home,1: car,32.0,5: recreation,1: car,,,,,,,8.0,11.0,17.0,20.0,20.0,23.0,,,,
450,0: feamale,49.0,4: master or phd,4: active,2: 750-1500,1: yes,4.0,4,1: work,7: walk,4,2: return home,7: walk,4.0,4: market,7: walk,,,,,,,11.0,14.0,17.0,20.0,17.0,20.0,,,,
451,0: feamale,36.0,4: master or phd,4: active,2: 750-1500,0: no,5.0,26,5: recreation,3: bus,5,2: return home,7: walk,,,,,,,,,,17.0,20.0,17.0,20.0,,,,,,
452,0: feamale,36.0,3: bachelor,4: active,1: 750 or less,1: yes,18.0,21,1: work,3: bus,30,1: work,3: bus,,,,,,,,,,8.0,11.0,20.0,23.0,,,,,,
453,1: male,24.0,4: master or phd,4: active,2: 750-1500,1: yes,31.0,22,1: work,1: car,31,2: return home,1: car,31.0,5: recreation,7: walk,31.0,2: return home,7: walk,,,,8.0,11.0,17.0,20.0,17.0,20.0,17.0,20.0,,
454,0: feamale,21.0,3: bachelor,4: active,2: 750-1500,1: yes,13.0,1,4: market,7: walk,13,2: return home,7: walk,,,,,,,,,,14.0,17.0,20.0,23.0,,,,,,
455,0: feamale,21.0,3: bachelor,4: active,2: 750-1500,1: yes,20.0,24,1: work,4: train,16,1: work,4: train,,,,,,,,,,14.0,17.0,14.0,17.0,,,,,,
456,0: feamale,39.0,3: bachelor,4: active,1: 750 or less,1: yes,24.0,24,1: work,1: car,24,2: return home,1: car,,,,,,,,,,8.0,11.0,17.0,20.0,,,,,,
457,1: male,39.0,4: master or phd,4: active,2: 750-1500,0: no,32.0,32,5: recreation,5: motorcycle,32,2: return home,5: motorcycle,,,,,,,,,,17.0,20.0,17.0,20.0,,,,,,
458,1: male,62.0,3: bachelor,4: active,4: 2500 or more,1: yes,12.0,12,5: recreation,1: car,12,4: market,1: car,,,,,,,,,,17.0,20.0,35.0,38.0,,,,,,
459,0: feamale,61.0,3: bachelor,1: inactive,2: 750-1500,1: yes,2.0,1,5: recreation,3: bus,2,2: return home,3: bus,2.0,7: other,7: walk,2.0,2: return home,7: walk,,,,11.0,14.0,17.0,20.0,20.0,23.0,23.0,29.0,,
460,1: male,56.0,3: bachelor,1: inactive,2: 750-1500,1: yes,2.0,30,5: recreation,1: car,2,2: return home,1: car,,,,,,,,,,14.0,17.0,17.0,20.0,,,,,,
461,0: feamale,43.0,2: high school,4: active,2: 750-1500,1: yes,9.0,22,1: work,1: car,9,2: return home,1: car,25.0,7: other,1: car,,,,,,,5.0,8.0,14.0,17.0,20.0,23.0,,,,
462,0: feamale,27.0,3: bachelor,4: active,2: 750-1500,0: no,32.0,32,1: work,7: walk,35,1: work,4: train,32.0,2: return home,4: train,,,,,,,8.0,11.0,8.0,11.0,17.0,20.0,,,,
463,0: feamale,37.0,4: master or phd,4: active,2: 750-1500,1: yes,24.0,22,1: work,1: car,22,4: market,1: car,,,,,,,,,,8.0,11.0,17.0,20.0,,,,,,
